yearID,lgID,teamID,Wins,Loses,Runs,AtBats,Hits,2Bhits,3Bhits,HR,BB,park,name,attendance
2013,NL,SLN,97,65,783,5557,1494,322,20,125,481,Busch Stadium III,St. Louis Cardinals,3369769
2013,NL,PIT,94,68,634,5486,1345,273,35,161,469,PNC Park,Pittsburgh Pirates,2256862
2013,NL,CIN,90,72,698,5499,1370,274,20,155,585,Great American Ball Park,Cincinnati Reds,2534369
2013,NL,MIL,74,88,640,5474,1381,238,43,157,407,Miller Park,Milwaukee Brewers,2531105
2013,NL,CHN,66,96,602,5498,1307,297,18,172,439,U.S. Cellular Field,Chicago White Sox,1768413
2013,NL,ATL,96,66,688,5441,1354,247,21,181,542,Turner Field,Atlanta Braves,2548679
2013,NL,WAS,86,76,656,5436,1365,259,27,161,464,Nationals Park,Washington Nationals,2652422
2013,NL,NYN,74,88,619,5559,1318,263,32,130,512,Citi Field,New York Mets,2135657
2013,NL,PHI,73,89,610,5456,1355,255,32,140,417,Citizens Bank Park,Philadelphia Phillies,3012403
2013,NL,MIA,62,100,513,5449,1257,219,31,95,432,Marlins Park,Miami Marlins,1586322
2013,NL,LAN,92,70,649,5491,1447,281,17,138,476,Dodger Stadium,Los Angeles Dodgers,3743527
2013,NL,ARI,81,81,685,5676,1468,302,31,130,519,Chase Field,Arizona Diamondbacks,2134795
2013,NL,SDN,76,86,618,5517,1349,246,26,146,467,Petco Park,San Diego Padres,2166691
2013,NL,SFN,76,86,629,5552,1446,280,35,107,469,AT&T Park,San Francisco Giants,3326796
2013,NL,COL,74,88,706,5599,1511,283,36,159,427,Coors Field,Colorado Rockies,2793828
